src_ip,dst_ip,protocol,src_port,dst_port,length,source_file,src_ip_type,dst_ip_type,src_port_category,dst_port_category,protocol_name,label,attack_type
10.60.104.116,109.108.32.99,109,27745,29555,64,http-sample_features.csv,private,public,ephemeral,ephemeral,proto_109,0,normal
108.32.99.108,97.115.115.61,104,8807,27693,64,http-sample_features.csv,public,public,ephemeral,ephemeral,proto_104,0,normal
112.45.101.113,117.105.118.61,104,8792,11605,64,http-sample_features.csv,public,public,ephemeral,ephemeral,proto_104,0,normal
45.101.113.117,105.118.61.34,116,22573,21825,64,http-sample_features.csv,public,public,ephemeral,ephemeral,proto_116,0,normal
32.87.105.114,101.115.104.97,110,29291,8386,64,http-sample_features.csv,public,public,ephemeral,ephemeral,proto_110,0,normal
101.62.10.60,108.105.110.107,105,8291,29295,64,http-sample_features.csv,public,public,ephemeral,ephemeral,proto_105,0,normal
60.108.105.110,107.32.99.114,101,28531,29551,64,http-sample_features.csv,public,public,ephemeral,ephemeral,proto_101,0,normal
56.57.50.100,99.49.55.97,115,26168,14642,64,http-sample_features.csv,public,public,ephemeral,ephemeral,proto_115,0,normal
100.99.49.55,97.102.56.57,56,12901,12339,64,http-sample_features.csv,public,public,ephemeral,ephemeral,proto_56,0,normal
116.97.108.105,99.45.102.57,115,13926,12599,64,http-sample_features.csv,public,public,ephemeral,ephemeral,proto_115,0,normal
0.0.0.192,159.50.65.140,0,224,6321,64,dns-sample_features.csv,public,public,well_known,ephemeral,proto_0,0,normal
65.140.0.224,24.177.12.173,192,2048,17664,64,dns-sample_features.csv,public,public,ephemeral,ephemeral,proto_192,0,normal
24.177.12.173,8.0.69.0,140,56,0,64,dns-sample_features.csv,public,public,well_known,well_known,proto_140,0,normal
192.168.170.8,192.168.170.20,17,32795,53,64,dns-sample_features.csv,private,private,ephemeral,dns,udp,0,normal
53.0.36.133,237.16.50.1,128,0,256,64,dns-sample_features.csv,public,public,well_known,well_known,proto_128,0,normal
0.0.0.224,24.177.12.173,0,192,40754,64,dns-sample_features.csv,public,public,well_known,ephemeral,proto_0,0,normal
192.168.170.20,192.168.170.8,17,53,32795,64,dns-sample_features.csv,private,private,dns,ephemeral,udp,0,normal
65.140.0.224,24.177.12.173,192,2048,17664,64,dns-sample_features.csv,public,public,ephemeral,ephemeral,proto_192,1,ddos_synthetic
24.177.12.173,8.0.69.0,140,56,0,64,dns-sample_features.csv,public,public,well_known,well_known,proto_140,1,ddos_synthetic
108.32.99.108,97.115.115.61,104,8807,27693,64,http-sample_features.csv,public,public,ephemeral,ephemeral,proto_104,1,ddos_synthetic
0.0.0.192,159.50.65.140,0,224,6321,64,dns-sample_features.csv,public,public,well_known,ephemeral,proto_0,1,ddos_synthetic
45.101.113.117,105.118.61.34,116,22573,21825,64,http-sample_features.csv,public,public,ephemeral,ephemeral,proto_116,1,ddos_synthetic
108.32.99.108,97.115.115.61,104,8807,27693,64,http-sample_features.csv,public,public,ephemeral,ephemeral,proto_104,1,ddos_synthetic
100.99.49.55,97.102.56.57,56,12901,12339,64,http-sample_features.csv,public,public,ephemeral,ephemeral,proto_56,1,ddos_synthetic
112.45.101.113,117.105.118.61,104,8792,11605,64,http-sample_features.csv,public,public,ephemeral,ephemeral,proto_104,1,ddos_synthetic
100.99.49.55,97.102.56.57,56,12901,12339,64,http-sample_features.csv,public,public,ephemeral,ephemeral,proto_56,1,exfiltration_synthetic
192.168.170.20,192.168.170.8,17,53,32795,64,dns-sample_features.csv,private,private,dns,ephemeral,udp,1,exfiltration_synthetic
53.0.36.133,237.16.50.1,128,0,256,64,dns-sample_features.csv,public,public,well_known,well_known,proto_128,1,exfiltration_synthetic
10.60.104.116,109.108.32.99,109,27745,29555,64,http-sample_features.csv,private,public,ephemeral,ephemeral,proto_109,1,exfiltration_synthetic
116.97.108.105,99.45.102.57,115,13926,12599,64,http-sample_features.csv,public,public,ephemeral,ephemeral,proto_115,1,exfiltration_synthetic
112.45.101.113,117.105.118.61,104,8792,11605,64,http-sample_features.csv,public,public,ephemeral,ephemeral,proto_104,1,exfiltration_synthetic
0.0.0.192,159.50.65.140,0,224,6321,64,dns-sample_features.csv,public,public,well_known,ephemeral,proto_0,1,exfiltration_synthetic
45.101.113.117,105.118.61.34,116,22573,21825,64,http-sample_features.csv,public,public,ephemeral,ephemeral,proto_116,1,exfiltration_synthetic
108.32.99.108,97.115.115.61,50,8807,500,64,http-sample_features.csv,public,public,ephemeral,ephemeral,proto_104,1,vpn_attack_synthetic
100.99.49.55,97.102.56.57,50,12901,4500,64,http-sample_features.csv,public,public,ephemeral,ephemeral,proto_56,1,vpn_attack_synthetic
45.101.113.117,105.118.61.34,50,22573,500,64,http-sample_features.csv,public,public,ephemeral,ephemeral,proto_116,1,vpn_attack_synthetic
192.168.170.8,192.168.170.20,50,32795,500,64,dns-sample_features.csv,private,private,ephemeral,dns,udp,1,vpn_attack_synthetic
101.62.10.60,108.105.110.107,50,8291,4500,64,http-sample_features.csv,public,public,ephemeral,ephemeral,proto_105,1,vpn_attack_synthetic
10.60.104.116,109.108.32.99,50,27745,500,64,http-sample_features.csv,private,public,ephemeral,ephemeral,proto_109,1,vpn_attack_synthetic
192.168.170.8,192.168.170.20,50,32795,500,64,dns-sample_features.csv,private,private,ephemeral,dns,udp,1,vpn_attack_synthetic
112.45.101.113,117.105.118.61,50,8792,500,64,http-sample_features.csv,public,public,ephemeral,ephemeral,proto_104,1,vpn_attack_synthetic
192.168.234.18,97.102.56.57,56,12901,12339,64,http-sample_features.csv,public,public,ephemeral,ephemeral,proto_56,1,scanning_synthetic
192.168.63.30,192.168.170.8,17,53,32795,64,dns-sample_features.csv,private,private,dns,ephemeral,udp,1,scanning_synthetic
192.168.107.153,109.108.32.99,109,27745,29555,64,http-sample_features.csv,private,public,ephemeral,ephemeral,proto_109,1,scanning_synthetic
192.168.207.242,8.0.69.0,140,56,0,64,dns-sample_features.csv,public,public,well_known,well_known,proto_140,1,scanning_synthetic
192.168.145.231,192.168.170.8,17,53,32795,64,dns-sample_features.csv,private,private,dns,ephemeral,udp,1,scanning_synthetic
192.168.117.101,24.177.12.173,192,2048,17664,64,dns-sample_features.csv,public,public,ephemeral,ephemeral,proto_192,1,scanning_synthetic
